Date,close,high,low,open,volume,year,month,day,day_of_week
1986-11-14,0.0904606208205223,0.0904606208205223,0.0878001717615082,0.0896624851893685,18720000,1986,11,14,4
1986-11-17,0.0909932553768158,0.0920574323440991,0.0893963733479619,0.0904605503152452,24307200,1986,11,17,0
1986-11-18,0.0862038880586624,0.0915253877214973,0.0862038880586624,0.090993303523561,59673600,1986,11,18,1
1986-11-19,0.0893964394927024,0.0899285238027912,0.0862039062286859,0.0862039062286859,48729600,1986,11,19,2
1986-11-20,0.0963142216205596,0.0963142216205596,0.0893964573866157,0.0893964573866157,98179200,1986,11,20,3
1986-11-21,0.0995067432522773,0.1005715422344032,0.0968463032284106,0.0968463032284106,91065600,1986,11,21,4
1986-11-24,0.107488639652729,0.1080207237366375,0.0963141614003754,0.0995066933072984,173836800,1986,11,24,0
1986-11-25,0.1085527837276458,0.1090848676486865,0.1069565136955482,0.1074886067510767,95788800,1986,11,25,1
1986-11-26,0.107488639652729,0.1090849010389451,0.107488639652729,0.1085528169550367,38793600,1986,11,26,2
1986-11-28,0.1058923751115799,0.1080207298363797,0.1048282068836712,0.1074886457224253,41328000,1986,11,28,4
1986-12-01,0.1037640571594238,0.1064244967068013,0.1032319637692521,0.1058924033166296,40291200,1986,12,1,0
1986-12-02,0.1042961403727531,0.1064244956431815,0.1042961403727531,0.1042961403727531,28771200,1986,12,2,1
1986-12-03,0.1034980192780494,0.105360332682683,0.1032319771158146,0.1042961548992488,35164800,1986,12,3,2
1986-12-04,0.104828231036663,0.1058923995097619,0.1026998758214786,0.1034980021763028,42508800,1986,12,4,3
1986-12-05,0.1042961403727531,0.1053603180079673,0.1042961403727531,0.104828233757607,107510400,1986,12,5,4
1986-12-08,0.1032319217920303,0.1053602762182765,0.1016356605395906,0.1042960990051534,22665600,1986,12,8,0
1986-12-09,0.1026997864246368,0.1037639631058976,0.1021676935167637,0.1032318701980245,16099200,1986,12,9,1
1986-12-10,0.1034980192780494,0.1037640705747791,0.1016357150079107,0.1026998927913449,27590400,1986,12,10,2
1986-12-11,0.1042961403727531,0.104828233757607,0.1032319627375389,0.103498004862719,11635200,1986,12,11,3
1986-12-12,0.1005715280771255,0.1042961454131301,0.1005715280771255,0.1042961454131301,25286400,1986,12,12,4
1986-12-15,0.0979104340076446,0.1011035779934941,0.0963141634529197,0.1005714938982464,50774400,1986,12,15,0
1986-12-16,0.0989745929837226,0.100571475253292,0.0984424998526288,0.0984424998526288,77299200,1986,12,16,1
1986-12-17,0.1000387892127037,0.1005714944562888,0.0989746118818126,0.0989746118818126,23356800,1986,12,17,2
1986-12-18,0.1008375138044357,0.1011035557936433,0.0995066735786637,0.1000387666915678,12672000,1986,12,18,3
1986-12-19,0.1032319217920303,0.1042960990051534,0.1011035673657841,0.1011035673657841,56592000,1986,12,19,4
1986-12-22,0.1042961403727531,0.1053603180079673,0.1032319627375389,0.1032319627375389,18316800,1986,12,22,0
1986-12-23,0.1053603291511535,0.1053603291511535,0.1042961514033891,0.1042961514033891,23788800,1986,12,23,1
1986-12-24,0.1050942912697792,0.1053603334339109,0.1048282491056474,0.1053603334339109,7027200,1986,12,24,2
1986-12-26,0.104828231036663,0.1058923995097619,0.104828231036663,0.1050942731549377,3715200,1986,12,26,4
1986-12-29,0.1005715280771255,0.1058924073758481,0.1005715280771255,0.1048282388236988,41702400,1986,12,29,0
1986-12-30,0.1016356721520423,0.1021677562521525,0.0995066963372323,0.1005714948173309,25401600,1986,12,30,1
1986-12-31,0.1026997864246368,0.1042960468792853,0.101635609743376,0.101635609743376,23356800,1986,12,31,2
1987-01-02,0.1016356721520423,0.1037640268214651,0.1011035789174411,0.1026998494867537,12643200,1987,1,2,4
1987-01-05,0.107488639652729,0.1085528169550367,0.1011035758388829,0.1016356690572821,48499200,1987,1,5,0
1987-01-06,0.1090848818421363,0.1096169749668975,0.1069565276120698,0.107488620736831,40032000,1987,1,6,1
1987-01-07,0.1149384900927543,0.1149384900927543,0.1090848984887831,0.1090848984887831,60998400,1987,1,7,2
1987-01-08,0.1186631321907043,0.1197279308485358,0.1154705996536827,0.1154705996536827,61488000,1987,1,8,3
1987-01-09,0.1234526187181472,0.1239847123482004,0.1181311160787538,0.1186632005743091,63705600,1987,1,9,4
1987-01-12,0.1314344108104705,0.1324985876371489,0.1223882912058576,0.1234524680325359,128793600,1987,1,12,0
1987-01-13,0.127709224820137,0.1303702844957066,0.1255808703421503,0.1303702844957066,76320000,1987,1,13,1
1987-01-14,0.127709224820137,0.1282413088723886,0.1250487771554085,0.127709224820137,69465600,1987,1,14,2
1987-01-15,0.1346269696950912,0.1378195010653242,0.1277092109493897,0.1277092109493897,117014400,1987,1,15,3
1987-01-16,0.1314344108104705,0.1346269321560188,0.1287733521659274,0.1346269321560188,65433600,1987,1,16,4
